Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",134.100000,-87.000000,-90.000000,top
"C2","4u7","C_0603_1608Metric",137.100000,-78.900000,180.000000,top
"C3","100n","C_0402_1005Metric",136.838000,-81.500000,90.000000,top
"C4","100n","C_0402_1005Metric",146.300000,-91.000000,180.000000,top
"C5","100n","C_0402_1005Metric",149.100000,-81.500000,-90.000000,top
"C6","100n","C_0402_1005Metric",140.317000,-79.000000,0.000000,top
"C7","1u","C_0402_1005Metric",135.538000,-87.000000,90.000000,top
"C8","10n","C_0402_1005Metric",136.888000,-87.000000,90.000000,top
"C9","30p","C_0402_1005Metric",126.518000,-83.000000,0.000000,top
"C10","30p","C_0402_1005Metric",126.518000,-86.800000,0.000000,top
"C11","100n","C_0402_1005Metric",102.200000,-106.175000,0.000000,top
"C12","100n","C_0402_1005Metric",60.100000,-117.900000,90.000000,top
"C13","100n","C_0402_1005Metric",60.100000,-133.900000,90.000000,top
"C14","100n","C_0402_1005Metric",60.100000,-141.900000,90.000000,top
"C15","100n","C_0402_1005Metric",60.100000,-149.900000,90.000000,top
"C16","100n","C_0402_1005Metric",60.100000,-125.800000,90.000000,top
"C17","100n","C_0402_1005Metric",162.200000,-119.100000,90.000000,top
"C18","100n","C_0402_1005Metric",162.300000,-143.100000,90.000000,top
"C19","100n","C_0402_1005Metric",162.300000,-127.200000,90.000000,top
"C20","100n","C_0402_1005Metric",162.300000,-151.100000,90.000000,top
"C21","100n","C_0402_1005Metric",162.300000,-135.120000,90.000000,top
"C22","100n","C_0402_1005Metric",129.200000,-120.300000,-90.000000,top
"C23","100n","C_0402_1005Metric",115.500000,-146.480000,90.000000,top
"C24","100n","C_0402_1005Metric",45.300000,-87.000000,-90.000000,top
"C25","4u7","C_0603_1608Metric",48.600000,-78.900000,180.000000,top
"C26","100n","C_0402_1005Metric",48.000000,-81.500000,90.000000,top
"C27","100n","C_0402_1005Metric",57.400000,-91.100000,180.000000,top
"C28","100n","C_0402_1005Metric",60.300000,-81.800000,-90.000000,top
"C29","100n","C_0402_1005Metric",51.480000,-79.000000,0.000000,top
"C30","1u","C_0402_1005Metric",46.700000,-87.000000,90.000000,top
"C31","10n","C_0402_1005Metric",48.050000,-87.000000,90.000000,top
"C32","30p","C_0402_1005Metric",37.680000,-83.000000,0.000000,top
"C33","30p","C_0402_1005Metric",37.680000,-86.800000,0.000000,top
"C34","10u","C_Elec_10x10.2",179.000000,-70.500000,180.000000,top
"C35","10u","C_Elec_10x10.2",179.000000,-82.500000,180.000000,top
"C36","10u","C_1206_3216Metric",43.000000,-39.500000,-90.000000,top
"C37","10u","C_1206_3216Metric",39.000000,-39.500000,-90.000000,top
"D1","RED","D_0603_1608Metric",133.638000,-78.500000,-90.000000,top
"D2","RED","D_0603_1608Metric",44.800000,-78.500000,-90.000000,top
"D3","SS14","D_SMA",174.000000,-20.000000,90.000000,top
"D4","SS14","D_SMA",170.000000,-20.000000,90.000000,top
"J1","Touchscreen","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",102.000000,-142.000000,-90.000000,top
"J2","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",102.000000,-100.000000,180.000000,top
"J3","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",50.000000,-118.000000,-90.000000,top
"J4","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",50.000000,-134.000000,-90.000000,top
"J5","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",50.000000,-142.000000,-90.000000,top
"J6","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",50.000000,-150.000000,-90.000000,top
"J7","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",50.000000,-126.000000,-90.000000,top
"J8","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",154.000000,-118.000000,90.000000,top
"J9","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",154.000000,-142.000000,90.000000,top
"J10","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",154.000000,-126.000000,90.000000,top
"J11","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",154.000000,-150.000000,90.000000,top
"J12","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",154.000000,-134.000000,90.000000,top
"J13","3.5'' LCD","JST_ZH_B8B-ZR-SM4-TF_1x08-1MP_P1.50mm_Vertical",102.000000,-126.000000,90.000000,top
"J14","USB_B_Micro","USB_Micro-B_Molex-105017-0001",144.000000,-2.800000,180.000000,top
"J15","Conn_01x03","JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical",78.500000,-63.000000,90.000000,top
"J16","Conn_01x03","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",40.000000,-55.000000,180.000000,top
"J17","Conn_01x03","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",25.000000,-55.000000,180.000000,top
"J18","Conn_01x03","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",140.000000,-55.000000,180.000000,top
"J19","Conn_01x03","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",125.000000,-55.000000,180.000000,top
"J20","USB_B_Micro","USB_Micro-B_Molex-105017-0001",60.000000,-2.800000,180.000000,top
"J21","Conn_01x02","battery",200.000000,-100.000000,90.000000,top
"L1","39n","L_0402_1005Metric",135.548000,-89.500000,90.000000,top
"L2","39n","L_0402_1005Metric",46.710000,-89.500000,90.000000,top
"L3","4u7","L_Coilcraft_XAL6060-XXX",43.200000,-26.500000,90.000000,top
"R1","2k2","R_0402_1005Metric",148.200000,-77.000000,180.000000,top
"R2","2k2","R_0402_1005Metric",144.800000,-74.600000,0.000000,top
"R3","22R","R_0402_1005Metric",141.200000,-91.800000,90.000000,top
"R4","10k","R_0402_1005Metric",61.400000,-93.100000,90.000000,top
"R5","22R","R_0402_1005Metric",154.300000,-78.700000,-90.000000,top
"R6","22R","R_0402_1005Metric",153.100000,-78.700000,-90.000000,top
"R7","1k5","R_0402_1005Metric",151.600000,-80.300000,0.000000,top
"R8","10k","R_0402_1005Metric",142.200000,-74.510000,-90.000000,top
"R9","0","R_0402_1005Metric",133.838000,-85.100000,180.000000,top
"R10","10k","R_0402_1005Metric",126.600000,-78.800000,0.000000,top
"R11","10k","R_0402_1005Metric",102.200000,-104.675000,180.000000,top
"R12","10k","R_0402_1005Metric",62.200000,-117.900000,-90.000000,top
"R13","10k","R_0402_1005Metric",62.200000,-133.900000,-90.000000,top
"R14","10k","R_0402_1005Metric",62.200000,-141.900000,-90.000000,top
"R15","10k","R_0402_1005Metric",62.200000,-149.900000,-90.000000,top
"R16","10k","R_0402_1005Metric",62.200000,-125.810000,-90.000000,top
"R17","10k","R_0402_1005Metric",164.200000,-119.100000,-90.000000,top
"R18","10k","R_0402_1005Metric",164.300000,-143.100000,-90.000000,top
"R19","10k","R_0402_1005Metric",164.300000,-127.200000,-90.000000,top
"R20","10k","R_0402_1005Metric",164.400000,-151.100000,-90.000000,top
"R21","10k","R_0402_1005Metric",164.300000,-135.120000,-90.000000,top
"R22","1k","R_0603_1608Metric",131.738000,-78.500000,-90.000000,top
"R23","30k","R_0603_1608Metric",109.400000,-127.700000,180.000000,top
"R24","30k","R_0603_1608Metric",119.000000,-122.400000,0.000000,top
"R25","30k","R_0603_1608Metric",118.980000,-125.015000,180.000000,top
"R26","10k","R_0402_1005Metric",156.500000,-83.700000,90.000000,top
"R27","10k","R_0402_1005Metric",63.300000,-84.700000,90.000000,top
"R28","22R","R_0402_1005Metric",66.300000,-76.500000,-90.000000,top
"R29","22R","R_0402_1005Metric",65.200000,-76.500000,-90.000000,top
"R30","1k5","R_0402_1005Metric",63.300000,-78.300000,0.000000,top
"R31","10k","R_0402_1005Metric",53.425000,-77.960000,-90.000000,top
"R32","0","R_0402_1005Metric",45.000000,-85.100000,180.000000,top
"R33","1k","R_0603_1608Metric",42.900000,-78.500000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",128.000000,-2.300000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",2.300000,-79.000000,-90.000000,top
"SW3","SW_SPDT","SW_SPDT_PCM12",76.000000,-2.300000,180.000000,top
"SW4","SW_SPDT","SW_SPDT_PCM12",201.700000,-79.000000,90.000000,top
"U1","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",143.000000,-85.000000,-90.000000,top
"U2","W25X40CLSS","SOIC-8_5.275x5.275mm_P1.27mm",125.600000,-124.365000,-90.000000,top
"U3","AT24CS01-XHM","SOP-8_3.9x4.9mm_P1.27mm",120.000000,-144.000000,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",144.000000,-9.000000,180.000000,top
"U5","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",54.162500,-85.000000,-90.000000,top
"U6","USBLC6-2SC6","SOT-23-6",60.000000,-9.000000,180.000000,top
"U7","~","BatteryBabysitter",176.000000,-42.000000,0.000000,top
"U8","AMS1117-3.3","SOT-223-3_TabPin2",190.000000,-73.500000,90.000000,top
"U9","~","SOT-25-5",41.000000,-35.000000,-90.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",130.038000,-84.900000,90.000000,top
"Y2","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",41.200000,-84.900000,90.000000,top
